No,Date,Tavg,RH_avg,RR,ff_avg,ss
136,16/05/2019,27.7,83,0,1,9
137,17/05/2019,26.8,86,15.5,1,5.2
138,18/05/2019,27.7,91,0,1,1.6
139,19/05/2019,26.4,94,3.2,2,1
140,20/05/2019,28.1,83,5.6,1,4.3
141,21/05/2019,27,88,0,1,4.4
142,22/05/2019,27.1,90,5.6,1,5.4
143,23/05/2019,29,81,0.5,2,3.7
144,24/05/2019,28.6,83,10.2,2,8.9
145,25/05/2019,27.9,89,0,1,8.3
146,26/05/2019,28.5,85,25,1,6.2
147,27/05/2019,28.3,86,10.1,1,7.4
148,28/05/2019,28.3,87,3.8,2,7
149,29/05/2019,28.1,88,4.1,1,7.7
150,30/05/2019,27.2,87,0,1,7
151,31/05/2019,27.4,90,5.6,1,2.2
152,01/06/2019,26.6,90,10.3,1,4.9
153,02/06/2019,27.8,83,64.7,1,4.6
154,03/06/2019,25.9,96,11,1,6.9
155,04/06/2019,27.3,88,23,1,2.7
156,05/06/2019,28.5,86,6.2,2,3.5
157,06/06/2019,26.5,91,11.2,2,6.2
158,07/06/2019,25.7,91,27.3,1,0
159,08/06/2019,26.4,91,11.2,1,0
160,09/06/2019,27,87,11.2,1,2.1
161,10/06/2019,29.2,81,11.2,2,6.3
162,11/06/2019,29,85,0,2,10.8
163,12/06/2019,26.7,90,8.5,2,8.4
164,13/06/2019,28.1,86,0,2,2.4
165,14/06/2019,28.4,85,6.5,1,0
166,15/06/2019,27.5,89,0,1,6.3
167,16/06/2019,28.6,84,11.2,2,4.6
168,17/06/2019,28.5,86,0,2,8
169,18/06/2019,26,94,15.7,1,3.7
170,19/06/2019,26.7,92,11.2,1,0
171,20/06/2019,28.5,81,11.2,2,0.4
172,21/06/2019,27.1,85,11.2,2,3.9
173,22/06/2019,25.8,93,11.2,2,3.3
174,23/06/2019,28.1,82,33.2,2,1.6
175,24/06/2019,28.6,81,0,2,8.8
176,25/06/2019,29.1,80,11.2,3,5.3
177,26/06/2019,26.7,87,0,1,9.9
178,27/06/2019,27.9,84,7.3,2,2.8
179,28/06/2019,29,80,0,4,10.3
180,29/06/2019,28.4,84,0,2,9
181,30/06/2019,28.1,82,11.2,2,4
182,01/07/2019,28.9,78,1.73,3,5.3
183,02/07/2019,28.9,80,0,4,9.8
184,03/07/2019,29.5,78,0,2,9.3
185,04/07/2019,28.4,81,1.73,1,6.4
186,05/07/2019,29.3,81,1.73,2,2.9
187,06/07/2019,28.8,80,0,2,9.7
188,07/07/2019,28.2,84,0,2,9.3
189,08/07/2019,27.8,86,2.8,2,5.1
190,09/07/2019,25.7,93,28.6,2,6.1
191,10/07/2019,28.6,77,3.5,3,3.6
192,11/07/2019,29.5,69,0,3,8.9
193,12/07/2019,28.3,79,0,2,11.4
194,13/07/2019,28.3,83,0,2,7.4
195,14/07/2019,28.6,80,0,3,10.2
196,15/07/2019,26.8,86,0,2,8.8
197,16/07/2019,28.5,74,4.4,2,7.2
198,17/07/2019,28.5,74,0,3,7.2
