Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-12-2018,,29.6,27,87,31.7,4.4,6,50,1,N 
02-12-2018,25.2,31.4,27.6,85,8888,0.6,6,50,2,N 
03-12-2018,25.2,28.7,26.2,92,8888,6.8,3,300,0,N 
04-12-2018,23.6,32.5,27.7,84,3.5,2.7,5,60,1,N 
05-12-2018,24,32.2,27.3,88,0.9,7.2,4,70,1,N 
06-12-2018,24.8,30.1,27,89,0.1,2.7,4,60,1,N 
07-12-2018,24.7,30.8,27,87,6.1,,5,190,1,N 
08-12-2018,,30.6,27.7,84,7.3,4.4,4,70,2,N 
09-12-2018,24.2,31.5,28,85,2.3,2.8,4,40,1,N 
10-12-2018,24.4,,27.8,84,8888,5.5,4,40,1,N 
11-12-2018,24.3,31.4,26.3,90,0,5.4,8,180,1,N 
12-12-2018,24,30.8,26.7,89,32.5,4.9,5,40,1,N 
13-12-2018,24.4,,26.4,90,6.7,4.9,3,360,1,N 
14-12-2018,24.9,29,26.6,86,8888,0.1,5,20,2,N 
15-12-2018,24.7,30.6,26.6,87,0,2.5,5,260,1,N 
16-12-2018,23,31.4,26.9,85,65.5,2.1,5,50,1,N 
17-12-2018,23.6,31,27.3,79,13.2,4.1,8,180,2,N 
18-12-2018,24.6,30.8,27.6,83,0,3.7,6,50,2,N 
19-12-2018,24.3,31.2,28.1,81,0,4.2,4,60,1,C 
20-12-2018,25.2,31.3,27.8,83,8888,5.1,5,30,2,NE
21-12-2018,25.4,31.4,27.8,83,8888,4,4,20,1,C 
22-12-2018,24.7,32.4,28,80,8888,5.6,6,60,2,C 
23-12-2018,24.9,31.7,27.6,80,8888,7.2,3,10,1,C 
24-12-2018,23.9,31.8,28.1,80,0,6.2,5,50,1,C 
25-12-2018,24.6,32.8,27.9,80,0,7.6,6,250,1,C 
26-12-2018,22.5,31.2,28.2,78,11.5,7.6,5,270,1,W 
27-12-2018,,29.8,27.2,84,8888,,5,300,1,C 
28-12-2018,24.4,32.8,28.5,76,0,0,5,310,2,C 
29-12-2018,23.1,30.2,27.7,84,7.5,8.4,5,0,1,C 
30-12-2018,24.5,,28,82,0,0,4,300,1,C 
31-12-2018,25.8,31.4,26.6,88,8888,7.1,3,340,1,C 
