Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-03-2022,25.8,30.6,27.6,83,,8.8,7,50,3,NE
02-03-2022,25.8,31.8,27.5,84,3.4,5.2,8,50,4,N 
03-03-2022,25.6,32.2,26.9,86,12.8,8,6,360,2,N 
04-03-2022,24.3,30.9,27.6,82,38.5,6.4,5,10,3,N 
05-03-2022,24.4,32.4,27.8,80,0,8.1,5,40,2,N 
06-03-2022,23.8,29.8,27.1,86,37.8,8.2,4,50,2,NE
07-03-2022,25.3,31.4,27.7,83,1.2,1.8,8,70,4,NE
08-03-2022,24.1,31,28.2,78,0,4.5,6,50,3,NE
09-03-2022,24.2,30.9,28.3,82,0,8.1,7,60,4,NE
10-03-2022,24.8,30.4,27,84,3,4.3,6,280,4,NE
11-03-2022,23.2,31.4,28,80,4.4,3.6,8,50,4,NE
12-03-2022,25.6,31.8,27.8,79,0,7.1,8,60,3,N 
13-03-2022,23.9,31.8,28.8,79,0,9,7,60,4,NE
14-03-2022,24.2,31.4,28.6,80,,8.7,5,50,3,NE
15-03-2022,26.6,31.4,26.4,86,,6.5,5,220,2,NE
16-03-2022,23.8,31.8,27.9,81,18.4,3.8,7,80,2,C 
17-03-2022,25.2,31.6,27.5,84,0,5.1,5,50,2,C 
18-03-2022,25.2,32.3,28.2,80,8888,4.6,4,50,2,C 
19-03-2022,24.8,34,29.1,76,2.3,2.2,5,100,3,E 
20-03-2022,23.2,31.4,27,82,0.2,7.4,7,250,2,C 
21-03-2022,22.8,32.4,28.7,77,3.1,3.7,4,200,1,C 
22-03-2022,24.4,31,28.2,85,0,,4,120,2,E 
23-03-2022,24.4,32.2,29,80,2.5,2.7,6,60,2,E 
24-03-2022,24.5,32.5,29.5,80,0,6.3,6,60,4,NE
25-03-2022,27,32.6,29.5,76,0,8.8,7,60,4,NE
26-03-2022,26.6,32.8,28.4,80,,10.1,5,60,2,C 
27-03-2022,24.4,33,28.8,78,0,7.8,5,50,2,NE
28-03-2022,,33.2,28.1,82,0,7.5,7,60,3,N 
29-03-2022,25,32.7,28.9,79,0.9,7.2,7,70,3,NE
30-03-2022,26.4,33,29.8,75,8888,7.5,5,60,3,NE
31-03-2022,27.1,31.9,27.1,83,,9.8,7,240,2,C 
