Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2016,,33,29.1,78,8888,5.1,5,70,2,SE
02-05-2016,25.6,33.3,28.4,81,0,5.9,4,110,1,N 
03-05-2016,25.6,33.5,28.7,82,,4.4,4,140,1,N 
04-05-2016,25.4,33.8,30,76,8888,5,6,40,2,NE
05-05-2016,26.5,34.5,29.5,80,0,11,5,70,2,E 
06-05-2016,,34,29.6,79,8888,4.9,6,40,2,N 
07-05-2016,26.6,33.6,29.6,78,0,5.3,5,80,2,N 
08-05-2016,26.4,33.2,29.1,79,0,8.8,4,160,1,N 
09-05-2016,26.2,34.6,29.9,78,,6.1,6,60,2,E 
10-05-2016,,34,29.7,76,0,6.3,6,60,2,NE
11-05-2016,26.4,34.1,29,81,,6.4,7,180,2,N 
12-05-2016,25.7,32.7,28.4,87,8.4,7.3,3,210,1,N 
13-05-2016,26.2,32.8,28.4,83,8888,4.9,5,230,1,N 
14-05-2016,,32.8,26.8,92,2.6,,6,190,1,N 
15-05-2016,25.4,32.7,28.3,83,5,0.9,5,180,2,N 
16-05-2016,25.5,33.9,28.8,81,0,6.4,5,290,2,N 
17-05-2016,25.6,33.1,29.1,82,1,7.7,4,230,1,N 
18-05-2016,25.3,33.9,27.8,85,,5.9,6,270,2,N 
19-05-2016,,32.2,28.4,85,3.7,5.9,6,150,1,N 
20-05-2016,26.3,33,28.8,84,0,3.6,5,350,2,N 
21-05-2016,26,31.2,28.1,83,7,4.8,9,280,3,W 
22-05-2016,24.3,32.4,28.2,84,61.9,,8,340,1,N 
23-05-2016,25.8,33,29.9,79,0.8,1.1,4,200,2,SE
24-05-2016,,32.6,28.7,82,8888,6.9,5,240,2,N 
25-05-2016,26.2,33,28.4,84,0,3.8,5,140,2,N 
26-05-2016,24.2,32.1,27.9,82,22.5,6.2,8,220,2,S 
27-05-2016,24.3,33.1,29.1,81,0.5,4.9,6,200,2,N 
28-05-2016,25,32,28.2,84,15,7.7,4,150,2,SE
29-05-2016,25.1,32.4,28.6,82,8888,3.6,5,210,2,N 
30-05-2016,24,30.8,27.3,86,14.7,6.3,5,190,2,N 
31-05-2016,,33.2,29.3,76,1.7,0.6,6,270,2,E 
