Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-02-2019,25.5,32.1,28.3,77,0.0,5.2,8,30,4,N 
02-02-2019,26.2,31.6,28.4,77,0.0,10.7,6,50,4,NE
03-02-2019,25.8,31.9,27.9,84,2.2,9.9,6,50,2,C 
04-02-2019,25.8,31.7,28.1,81,0.0,7.8,4,60,2,NE
05-02-2019,25.1,31.5,27.5,81,0.0,9.0,5,40,2,N 
06-02-2019,23.6,31.4,26.7,82,0.0,9.7,10,50,3,NE
07-02-2019,24.6,31.3,27.8,76,0.0,10.8,6,50,3,NE
08-02-2019,24.5,31.9,28.3,78,0.0,9.7,5,40,2,NE
09-02-2019,25.0,31.8,28.4,80,0.0,7.7,4,60,2,NE
10-02-2019,25.2,32.0,28.4,78,0.0,10.4,7,40,4,NE
11-02-2019,25.3,31.6,27.6,72,0.0,10.5,7,40,2,C 
12-02-2019,23.2,32.4,27.8,77,0.0,10.6,6,50,3,NE
13-02-2019,24.9,32.4,28.5,78,0.0,10.2,6,40,4,NE
14-02-2019,25.1,32.2,28.5,76,0.0,10.3,5,50,3,NE
15-02-2019,25.6,32.4,28.3,74,0.0,10.0,5,50,3,N 
16-02-2019,26.0,32.0,28.2,76,0.0,6.6,5,50,3,NE
17-02-2019,26.1,31.8,28.3,77,0.0,7.7,5,70,2,NE
18-02-2019,22.4,31.8,26.1,83,14.1,6.8,4,50,2,NE
19-02-2019,22.5,31.6,27.5,84,0.0,6.4,6,40,3,NE
20-02-2019,25.9,32.4,28.2,80,0.0,8.3,5,50,2,N 
21-02-2019,26.4,31.6,28.6,75,0.0,9.0,6,40,3,NE
22-02-2019,25.8,32.5,28.3,78,0.0,9.5,9,30,3,NE
23-02-2019,26.0,31.8,28.2,73,0.0,10.6,7,50,3,NE
24-02-2019,25.4,32.1,27.6,76,0.0,10.5,5,40,3,NE
25-02-2019,25.7,32.3,28.4,78,0.0,6.1,6,40,4,NE
26-02-2019,26.6,32.2,28.9,76,0.0,10.9,6,30,4,NE
27-02-2019,25.6,31.8,27.9,79,3.4,7.8,7,40,4,NE
28-02-2019,25.7,31.8,28.7,74,0.5,6.2,6,20,3,NE
