Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_avg
01-04-2022,24.0,32.1,26.3,89.0,6.7,3.6,1.0
02-04-2022,23.4,31.2,26.8,86.0,73.0,5.8,1.0
03-04-2022,25.0,31.0,27.1,85.0,73.0,6.1,1.0
04-04-2022,23.8,31.6,27.1,84.0,73.0,4.1,0.0
05-04-2022,24.2,32.0,27.7,82.0,0.0,6.5,1.0
06-04-2022,23.4,32.4,27.5,82.0,0.0,6.1,0.0
07-04-2022,23.4,32.6,27.8,82.0,1.0,7.1,1.0
08-04-2022,23.8,33.0,27.9,81.0,5.0,5.5,1.0
09-04-2022,24.6,33.0,28.2,80.0,0.0,7.4,0.0
10-04-2022,24.1,32.8,27.4,81.0,1.0,8.1,1.0
11-04-2022,24.0,33.2,28.0,78.0,1.0,6.6,1.0
12-04-2022,23.4,33.6,28.2,78.0,0.0,9.0,1.0
13-04-2022,23.8,33.2,27.4,82.0,0.0,8.9,0.0
14-04-2022,25.2,32.2,28.4,82.0,0.0,5.4,1.0
15-04-2022,24.8,33.6,28.6,80.0,0.0,3.9,0.0
16-04-2022,24.4,32.4,27.8,82.0,0.0,6.5,0.0
17-04-2022,25.0,30.6,25.1,94.0,0.0,3.0,0.0
18-04-2022,23.6,31.8,27.3,86.0,21.9,2.0,1.0
19-04-2022,25.2,32.0,28.3,85.0,0.5,6.4,1.0
20-04-2022,24.8,31.7,26.9,90.0,0.0,5.5,0.0
21-04-2022,23.8,32.6,27.1,88.0,18.5,4.3,1.0
22-04-2022,23.8,33.0,28.5,83.0,2.5,7.2,0.0
23-04-2022,24.9,30.8,25.1,94.0,2.5,8.7,0.0
24-04-2022,24.0,32.4,27.3,88.0,3.0,0.5,0.0
25-04-2022,25.0,29.2,26.3,92.0,22.3,5.8,0.0
26-04-2022,23.8,32.2,27.6,86.0,7.0,2.3,1.0
27-04-2022,23.2,30.6,25.1,95.0,17.2,7.4,1.0
28-04-2022,24.1,31.4,27.6,88.0,32.1,1.9,1.0
29-04-2022,24.2,32.0,26.5,90.0,2.0,5.5,1.0
30-04-2022,24.6,29.2,26.0,92.0,6.2,5.4,0.0
01-05-2022,23.2,33.4,27.1,86.0,3.8,2.4,1.0
02-05-2022,24.2,31.0,27.5,85.0,0.3,9.5,1.0
03-05-2022,23.6,33.1,27.7,84.0,1.0,1.9,1.0
04-05-2022,24.2,33.0,27.3,87.0,0.0,8.2,1.0
05-05-2022,24.0,32.2,26.3,92.0,14.0,4.8,0.0
06-05-2022,24.4,32.4,27.4,86.0,0.0,4.7,1.0
07-05-2022,25.2,32.4,28.3,86.0,3.9,5.8,1.0
08-05-2022,25.4,30.4,26.7,92.0,3.9,7.1,0.0
09-05-2022,25.2,30.0,25.5,96.0,10.2,1.7,1.0
10-05-2022,25.0,32.5,28.3,85.0,44.5,0.0,0.0
11-05-2022,24.2,31.8,27.7,88.0,27.5,6.8,0.0
12-05-2022,25.4,31.6,28.4,85.0,0.0,3.0,0.0
13-05-2022,25.0,30.4,27.7,88.0,0.9,4.4,1.0
14-05-2022,24.4,32.6,27.6,88.0,19.9,1.6,0.0
15-05-2022,24.0,33.0,27.9,86.0,6.5,5.9,0.0
16-05-2022,24.4,31.8,27.4,88.0,0.0,6.7,1.0
17-05-2022,24.6,32.0,27.4,84.0,1.4,4.3,1.0
18-05-2022,24.8,30.6,26.6,91.0,0.0,6.3,0.0
19-05-2022,24.4,31.6,26.9,87.0,27.3,0.0,0.0
20-05-2022,23.8,31.6,26.7,89.0,2.2,2.7,1.0
21-05-2022,24.2,32.6,26.1,88.0,2.0,3.5,0.0
22-05-2022,23.4,30.8,26.1,89.0,4.5,4.3,1.0
23-05-2022,23.8,31.4,27.0,86.0,3.8,6.0,0.0
24-05-2022,24.3,29.4,26.0,94.0,4.7,4.0,0.0
25-05-2022,24.8,32.8,27.7,86.0,4.7,0.0,0.0
26-05-2022,24.4,31.8,26.3,93.0,3.6,4.9,1.0
27-05-2022,23.8,27.8,24.9,94.0,10.2,4.1,0.0
28-05-2022,22.8,30.8,26.2,88.0,3.2,0.0,0.0
29-05-2022,23.0,32.4,27.4,84.0,0.0,2.9,1.0
30-05-2022,24.2,30.8,26.9,88.0,1.3,7.2,1.0
31-05-2022,24.4,33.0,28.1,83.0,0.0,1.0,0.0
01-06-2022,24.4,32.4,26.5,88.0,0.0,7.9,1.0
02-06-2022,22.8,32.6,27.4,81.0,2.5,3.0,1.0
03-06-2022,23.8,30.6,26.7,88.0,0.0,8.2,0.0
04-06-2022,23.8,28.6,25.7,90.0,38.6,6.2,0.0
05-06-2022,22.8,32.4,26.9,83.0,1.2,0.5,1.0
06-06-2022,23.8,32.8,26.9,84.0,0.0,8.0,1.0
07-06-2022,24.0,31.6,26.6,89.0,7.4,4.8,1.0
08-06-2022,23.2,32.4,26.8,85.0,1.5,2.9,1.0
09-06-2022,23.6,33.0,27.7,81.0,0.0,6.8,1.0
10-06-2022,23.4,33.2,27.5,80.0,0.0,8.2,1.0
11-06-2022,24.6,30.8,25.1,93.0,0.0,8.3,0.0
12-06-2022,23.6,28.4,25.6,92.0,69.3,0.3,0.0
13-06-2022,23.6,27.2,25.2,95.0,8.9,0.0,0.0
14-06-2022,23.6,28.2,25.3,94.0,12.5,0.9,0.0
15-06-2022,23.5,30.0,26.0,92.0,0.5,0.0,1.0
16-06-2022,23.4,30.6,26.6,84.0,7.1,0.5,0.0
17-06-2022,24.0,29.2,26.0,92.0,0.1,5.4,0.0
18-06-2022,24.6,29.0,26.2,90.0,6.2,1.3,1.0
19-06-2022,23.0,28.2,25.5,92.0,6.2,1.0,0.0
20-06-2022,22.8,32.2,26.4,85.0,2.5,2.5,0.0
21-06-2022,23.6,28.2,25.2,92.0,0.0,5.8,0.0
22-06-2022,23.0,26.8,23.7,97.0,8.6,0.0,0.0
23-06-2022,23.2,26.2,24.1,98.0,39.9,0.0,0.0
24-06-2022,23.2,31.6,26.6,86.0,7.8,0.0,1.0
25-06-2022,23.4,31.4,25.8,92.0,0.0,8.0,1.0
26-06-2022,23.8,31.2,26.1,90.0,2.4,4.3,0.0
27-06-2022,24.3,30.0,26.1,91.0,8.3,4.1,1.0
28-06-2022,23.8,28.2,25.7,90.0,16.5,1.4,0.0
29-06-2022,23.6,30.2,26.0,89.0,0.0,0.0,1.0
30-06-2022,23.6,29.6,26.0,90.0,13.2,4.1,1.0
01-07-2022,23.0,30.8,26.5,87.0,15.2,3.1,0.0
02-07-2022,22.9,31.0,26.2,91.0,0.0,4.7,0.0
03-07-2022,24.1,28.4,24.8,96.0,0.0,1.7,0.0
04-07-2022,23.8,29.6,26.3,91.0,26.6,0.0,0.0
05-07-2022,22.6,32.0,26.9,86.0,3.2,2.2,1.0
06-07-2022,24.8,31.4,27.3,84.0,0.5,6.4,1.0
07-07-2022,23.7,32.2,26.1,89.0,0.0,3.6,0.0
08-07-2022,23.0,29.6,25.5,90.0,46.5,3.1,1.0
09-07-2022,24.2,29.2,25.2,94.0,3.7,0.7,0.0
10-07-2022,24.2,30.6,26.3,88.0,12.0,0.4,0.0
11-07-2022,23.2,28.8,24.8,94.0,88.0,1.7,0.0
12-07-2022,24.0,29.6,25.6,92.0,3.4,0.2,0.0
