Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_avg
21-04-2022,23.8,32.6,27.1,88,18.5,4.3,1
22-04-2022,23.8,33,28.5,83,2.5,7.2,0
23-04-2022,24.9,30.8,25.1,94,8888,8.7,0
24-04-2022,24,32.4,27.3,88,3,0.5,0
25-04-2022,25,29.2,26.3,92,22.3,5.8,0
26-04-2022,23.8,32.2,27.6,86,7,2.3,1
27-04-2022,23.2,30.6,25.1,95,17.2,7.4,1
28-04-2022,24.1,31.4,27.6,88,32.1,1.9,1
29-04-2022,24.2,32,26.5,90,2,5.5,1
30-04-2022,24.6,29.2,26,92,6.2,5.4,0
01-05-2022,23.2,33.4,27.1,86,3.8,2.4,1
02-05-2022,24.2,31,27.5,85,0.3,9.5,1
03-05-2022,23.6,33.1,27.7,84,1,1.9,1
04-05-2022,24.2,33,27.3,87,0,8.2,1
05-05-2022,24,32.2,26.3,92,14,4.8,0
06-05-2022,24.4,32.4,27.4,86,0,4.7,1
07-05-2022,25.2,32.4,28.3,86,3.9,5.8,1
08-05-2022,25.4,30.4,26.7,92,8888,7.1,0
09-05-2022,25.2,30,25.5,96,10.2,1.7,1
10-05-2022,25,32.5,28.3,85,44.5,0,0
11-05-2022,24.2,31.8,27.7,88,27.5,6.8,0
12-05-2022,25.4,31.6,28.4,85,0,3,0
13-05-2022,25,30.4,27.7,88,0.9,4.4,1
14-05-2022,24.4,32.6,27.6,88,19.9,1.6,0
15-05-2022,24,33,27.9,86,6.5,5.9,0
16-05-2022,24.4,31.8,27.4,88,0,6.7,1
17-05-2022,24.6,32,27.4,84,1.4,4.3,1
18-05-2022,24.8,30.6,26.6,91,0,6.3,0
19-05-2022,24.4,31.6,26.9,87,27.3,0,0
20-05-2022,23.8,31.6,26.7,89,2.2,2.7,1
21-05-2022,24.2,32.6,26.1,88,2,3.5,0
22-05-2022,23.4,30.8,26.1,89,4.5,4.3,1
23-05-2022,23.8,31.4,27,86,3.8,6,0
24-05-2022,24.3,29.4,26,94,4.7,4,0
25-05-2022,24.8,32.8,27.7,86,8888,0,0
26-05-2022,24.4,31.8,26.3,93,3.6,4.9,1
27-05-2022,23.8,27.8,24.9,94,10.2,4.1,0
28-05-2022,22.8,30.8,26.2,88,3.2,0,0
29-05-2022,23,32.4,27.4,84,0,2.9,1
30-05-2022,24.2,30.8,26.9,88,1.3,7.2,1
31-05-2022,24.4,33,28.1,83,0,1,0
01-06-2022,24.4,32.4,26.5,88,0,7.9,1
02-06-2022,22.8,32.6,27.4,81,2.5,3,1
03-06-2022,23.8,30.6,26.7,88,0,8.2,0
04-06-2022,23.8,28.6,25.7,90,38.6,6.2,0
05-06-2022,22.8,32.4,26.9,83,1.2,0.5,1
06-06-2022,23.8,32.8,26.9,84,0,8,1
07-06-2022,24,31.6,26.6,89,7.4,4.8,1
08-06-2022,23.2,32.4,26.8,85,1.5,2.9,1
09-06-2022,23.6,33,27.7,81,0,6.8,1
10-06-2022,23.4,33.2,27.5,80,0,8.2,1
11-06-2022,24.6,30.8,25.1,93,0,8.3,0
12-06-2022,23.6,28.4,25.6,92,69.3,0.3,0
13-06-2022,23.6,27.2,25.2,95,8.9,0,0
14-06-2022,23.6,28.2,25.3,94,12.5,0.9,0
15-06-2022,23.5,30,26,92,0.5,0,1
16-06-2022,23.4,30.6,26.6,84,7.1,0.5,0
17-06-2022,24,29.2,26,92,0.1,5.4,0
18-06-2022,24.6,29,26.2,90,6.2,1.3,1
19-06-2022,23,28.2,25.5,92,8888,1,0
20-06-2022,22.8,32.2,26.4,85,2.5,2.5,0
21-06-2022,23.6,28.2,25.2,92,0,5.8,0
22-06-2022,23,26.8,23.7,97,8.6,0,0
23-06-2022,23.2,26.2,24.1,98,39.9,0,0
24-06-2022,23.2,31.6,26.6,86,7.8,0,1
25-06-2022,23.4,31.4,25.8,92,0,8,1
26-06-2022,23.8,31.2,26.1,90,2.4,4.3,0
27-06-2022,24.3,30,26.1,91,8.3,4.1,1
28-06-2022,23.8,28.2,25.7,90,16.5,1.4,0
29-06-2022,23.6,30.2,26,89,0,0,1
30-06-2022,23.6,29.6,26,90,13.2,4.1,1
01-07-2022,23,30.8,26.5,87,15.2,3.1,0
02-07-2022,22.9,31,26.2,91,0,4.7,0
03-07-2022,24.1,28.4,24.8,96,8888,1.7,0
04-07-2022,23.8,29.6,26.3,91,26.6,0,0
05-07-2022,22.6,32,26.9,86,3.2,2.2,1
06-07-2022,24.8,31.4,27.3,84,0.5,6.4,1
07-07-2022,23.7,32.2,26.1,89,0,3.6,0
08-07-2022,23,29.6,25.5,90,46.5,3.1,1
09-07-2022,24.2,29.2,25.2,94,3.7,0.7,0
10-07-2022,24.2,30.6,26.3,88,12,0.4,0
11-07-2022,23.2,28.8,24.8,94,88,1.7,0
12-07-2022,24,29.6,25.6,92,3.4,0.2,0
13-07-2022,23.2,30,26,88,13,0.4,0
14-07-2022,22,30.6,25.1,89,0.6,4.5,0
15-07-2022,24.2,26,24.2,96,4.5,1.7,0
16-07-2022,22.6,30.5,26,88,37.4,0,0
17-07-2022,23.8,31.6,26.7,87,8888,2.6,1
18-07-2022,24.2,27.8,24,96,1.1,4.7,1
19-07-2022,22,29.2,24.8,93,69.9,0,0
20-07-2022,24,30,26.1,89,8888,1.2,0
21-07-2022,23.4,30.2,25.2,92,0.9,1.8,0
