Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-12-2016,24.2,28.4,25.2,93,5.0,0,4,260,2,W 
02-12-2016,25.0,31.3,27.4,82,22.9,7,5,290,2,W 
03-12-2016,24.8,31.0,27.1,88,1.7,2,3,50,1,SW
04-12-2016,25.8,31.6,27.9,82,1.7,4,5,60,3,E 
05-12-2016,25.5,31.8,28.4,83,1.7,6,6,50,3,NE
06-12-2016,24.8,32.0,28.2,83,0.8,7,6,50,3,N 
07-12-2016,25.0,31.4,27.1,79,0.0,5,15,360,2,NE
08-12-2016,24.3,32.8,28.9,76,3.5,7,8,240,2,N 
09-12-2016,25.0,31.1,26.7,86,21.4,3,4,330,1,N 
10-12-2016,23.4,31.0,28.1,79,5.2,4,7,260,2,N 
11-12-2016,25.7,29.4,27.1,80,12.0,0,6,290,4,W 
12-12-2016,25.3,31.5,28.5,71,0.0,3,8,280,3,W 
13-12-2016,24.8,32.2,27.7,80,1.3,5,11,340,2,W 
14-12-2016,25.2,32.6,28.1,78,1.3,8,6,270,2,W 
15-12-2016,24.8,32.6,28.9,72,0.0,6,6,300,2,NW
16-12-2016,25.6,32.0,28.0,82,0.0,6,5,300,3,NE
17-12-2016,23.5,31.3,27.8,83,0.0,6,16,270,4,N 
18-12-2016,23.6,30.9,26.5,86,11.5,6,6,330,3,NW
19-12-2016,25.5,31.8,27.9,77,0.0,6,8,290,3,W 
20-12-2016,26.2,32.0,28.6,72,0.7,7,10,300,5,W 
21-12-2016,25.5,32.6,29.2,70,0.0,7,8,290,4,W 
22-12-2016,24.8,31.6,27.3,86,0.0,5,8,60,2,N 
23-12-2016,24.9,30.2,26.7,88,16.5,4,5,50,3,N 
24-12-2016,24.6,31.0,27.2,86,4.8,4,6,60,3,N 
25-12-2016,23.4,31.8,27.0,85,4.8,4,12,270,3,N 
26-12-2016,24.8,29.5,26.8,85,74.2,3,7,350,3,N 
27-12-2016,24.0,29.1,26.5,86,0.4,2,6,360,3,N 
28-12-2016,24.2,28.6,26.1,83,3.4,1,6,30,3,N 
29-12-2016,24.8,32.0,27.5,77,3.4,3,8,30,3,N 
30-12-2016,24.8,32.2,27.4,78,0.0,6,6,270,4,N 
31-12-2016,25.2,28.8,26.8,84,2.5,0,4,310,2,N 
