Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-09-2016,24.4,30.8,25.8,88,1.5,7.4,5,200,1,C 
02-09-2016,23.5,31.8,27.9,80,18.5,0.2,5,190,1,N 
03-09-2016,24.4,32.4,28.3,80,18.5,8.8,3,160,1,N 
04-09-2016,24.6,32.4,27.8,82,0.0,7.1,6,290,1,N 
05-09-2016,25.2,29.8,27.0,89,1.3,7.7,4,260,1,N 
06-09-2016,24.4,34.4,28.1,81,2.9,2.2,7,270,2,S 
07-09-2016,23.6,28.2,26.5,88,12.1,6.4,6,190,2,SW
08-09-2016,23.8,31.2,28.1,84,4.8,0.0,6,140,2,S 
09-09-2016,25.2,32.0,27.0,86,4.8,3.1,5,140,2,N 
10-09-2016,22.5,29.6,25.7,92,5.0,2.1,7,220,1,N 
11-09-2016,22.4,32.2,27.6,83,4.7,1.1,7,210,2,N 
12-09-2016,24.1,29.8,26.4,88,4.7,5.8,5,220,2,C 
13-09-2016,24.1,32.6,28.9,79,4.3,1.1,7,190,4,S 
14-09-2016,24.1,29.9,25.4,92,4.3,9.0,6,180,2,N 
15-09-2016,24.4,32.6,28.4,80,4.7,0.7,10,270,2,N 
16-09-2016,22.7,32.1,27.6,78,12.4,7.7,5,210,2,N 
17-09-2016,23.2,31.6,28.0,80,0.7,5.7,6,270,2,W 
18-09-2016,23.2,32.6,28.4,79,5.0,3.3,6,280,2,W 
19-09-2016,24.2,30.4,26.7,87,0.6,9.5,7,260,2,SW
20-09-2016,23.0,30.5,27.4,84,15.5,1.2,7,280,2,W 
21-09-2016,24.6,32.2,27.4,81,15.5,0.6,7,260,2,N 
22-09-2016,25.1,31.7,28.1,82,2.2,2.3,3,250,1,N 
23-09-2016,25.1,32.7,28.6,79,0.0,0.9,3,220,1,N 
24-09-2016,25.0,33.2,28.8,78,0.0,6.8,4,120,2,E 
25-09-2016,25.2,31.6,28.1,81,0.0,9.0,5,260,1,C 
26-09-2016,24.9,32.4,28.0,80,0.8,3.2,6,260,1,N 
27-09-2016,24.9,30.0,27.7,85,0.0,5.9,5,70,1,N 
28-09-2016,23.6,33.6,29.1,76,0.0,0.5,5,290,2,N 
29-09-2016,24.5,33.1,28.4,72,0.0,6.8,6,280,2,N 
30-09-2016,24.6,33.1,28.0,80,0.0,9.5,8,320,2,N 
