Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-11-2014,24.4,32.6,28.2,77,2.9,2.2,8,180,4,S 
02-11-2014,24.5,32.7,28.7,81,8888,2.1,6,180,4,W 
03-11-2014,24.2,33.2,28.5,81,0,1.4,7,170,4,S 
04-11-2014,24.8,33.6,28.6,80,0,4.5,5,140,3,E 
05-11-2014,25.4,32.8,28.6,80,0,5,7,150,4,NE
06-11-2014,25.4,30.9,26.1,90,12,4.2,8,180,3,W 
07-11-2014,23,33,27.6,81,40,0,6,170,3,NW
08-11-2014,23.8,32,27.9,82,10.3,3.1,9,200,3,W 
09-11-2014,23.2,31.2,26.9,81,0,3.4,4,210,3,S 
10-11-2014,24,29.6,26.6,86,9,2.5,9,190,4,S 
11-11-2014,23.4,30.8,26.3,89,8888,0,5,170,2,S 
12-11-2014,23.8,31,26.2,88,0,0.6,4,20,2,NW
13-11-2014,24.6,33,27.3,83,59.4,2.2,7,70,3,W 
14-11-2014,23.6,31.6,28,81,1.7,5.4,9,270,4,W 
15-11-2014,24.5,31.8,27.1,85,2.2,4.2,4,30,3,NW
16-11-2014,25,29.2,26.6,88,0,0.8,3,160,2,N 
17-11-2014,24,30.4,25.9,91,13,1.1,5,180,3,N 
18-11-2014,24.6,27.2,25.5,93,30.6,2,5,30,4,N 
19-11-2014,23.2,31.3,27.3,84,1.1,0,6,40,4,N 
20-11-2014,24.8,30.8,27.8,86,0.6,4.6,7,50,4,N 
21-11-2014,24.8,30.8,27.6,81,1.7,1.8,5,40,3,N 
22-11-2014,24.2,31.4,27.1,89,3.8,3.4,4,20,3,NE
23-11-2014,24.7,31.6,28,85,19.3,2.8,8,60,5,N 
24-11-2014,23.4,31.5,27.8,85,0.3,3.8,6,60,3,N 
25-11-2014,25.6,31.8,28.4,82,0,3.8,7,40,3,NW
26-11-2014,25,32.4,27.6,85,0.3,4.1,7,40,4,NW
27-11-2014,25.8,31.3,27.8,85,2.6,3.7,7,60,4,N 
28-11-2014,25.8,30.4,27.6,85,0,1.2,5,40,3,NE
29-11-2014,25.2,29.2,26.2,90,6,1.7,4,220,3,SW
30-11-2014,23.7,31.6,27.3,82,5.3,1,6,200,4,SW
