Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-09-2023,25.5,32.6,28.7,78,0,7.2,6,200,3,SE
02-09-2023,25.5,33,29.1,80,0,8.1,6,190,3,SE
03-09-2023,27,32.2,29.4,70,0,8,8,140,5,SE
04-09-2023,27,32,29,78,0,6.1,7,130,4,SE
05-09-2023,26.8,32,29,76,,5.8,7,140,4,SE
06-09-2023,27.2,32.4,27.9,89,0,2.4,4,130,2,S 
07-09-2023,23.9,32.7,27.7,84,18.4,1.4,5,140,2,SE
08-09-2023,25,32.6,29.6,78,0.2,4.7,6,150,3,SE
09-09-2023,26.9,32,27.3,87,0,7.8,5,230,1,C 
10-09-2023,24.6,31.9,26.3,92,1,3.6,4,180,1,C 
11-09-2023,23.2,31.8,28,84,31,3.7,6,150,3,SE
12-09-2023,26.2,32.4,29.2,82,8888,5.5,7,150,3,SE
13-09-2023,26.6,33,29.4,81,0,4.1,8,130,3,SE
14-09-2023,27,32.7,29,76,0,5.1,6,130,3,SE
15-09-2023,26,32.8,29.3,77,,9.3,7,140,4,SE
16-09-2023,27.3,33.2,29.6,79,0,8,6,140,4,SE
17-09-2023,26.9,32.8,28.8,85,,6.2,5,120,2,SE
18-09-2023,24.8,32,27.4,86,4.2,3.2,6,150,3,E 
19-09-2023,25.2,32.1,28.4,82,0,4.4,4,100,2,SE
20-09-2023,25.7,32.9,27,88,,6.9,5,110,2,C 
21-09-2023,24.2,32,26.7,86,8.5,5.4,3,40,2,SW
22-09-2023,24.8,31.8,27.3,86,1.2,5.2,4,210,2,C 
23-09-2023,24.8,30.9,27.6,86,4.5,3.3,6,130,2,C 
24-09-2023,25.2,28.5,25.8,92,8888,0.6,5,310,2,C 
25-09-2023,23.8,31.2,27.1,88,5.8,0,5,190,2,S 
26-09-2023,24.7,32.3,28.2,85,0,4.5,6,150,3,SE
27-09-2023,24.8,32.4,29.4,79,12.8,6.7,8,120,4,SE
28-09-2023,26.5,32.6,29.3,80,0,8.2,7,160,3,SE
29-09-2023,25.7,33.2,27.8,87,0,8.4,6,120,2,C 
30-09-2023,26.6,32.4,26.1,92,,4.5,5,250,1,C 
