Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2019,25.2,34.6,29.5,76,8888,4.4,3,90,1,C 
02-05-2019,25.6,33.6,29.4,82,0,2.7,3,310,1,C 
03-05-2019,27.4,32.6,28.6,87,0,4.7,4,120,2,E 
04-05-2019,25.1,33.4,27.9,84,17.6,5.2,4,260,1,C 
05-05-2019,25,32.3,28.3,76,0,7,4,280,3,W 
06-05-2019,26,33.8,29.5,73,0,4.2,5,260,2,C 
07-05-2019,26,33.3,29,84,0,10.2,5,190,2,C 
08-05-2019,24,30.6,25.6,96,5.4,6.6,6,300,1,C 
09-05-2019,23,33.5,29.4,80,18.8,0.4,4,220,1,C 
10-05-2019,24,33.6,28.2,81,6.5,8.7,3,270,1,C 
11-05-2019,25,33.6,27.8,89,0,9,3,360,1,C 
12-05-2019,25,32.9,28.3,88,14.6,3.6,3,80,1,C 
13-05-2019,,32.8,28.1,86,8888,,6,170,1,C 
14-05-2019,25,33.6,28.5,82,,4.5,5,100,2,C 
15-05-2019,25,33,28.5,84,8888,7.1,5,120,1,C 
16-05-2019,25,32.5,27.7,83,0,9,6,230,1,C 
17-05-2019,24,31.3,26.8,86,15.5,5.2,4,250,1,C 
18-05-2019,,31.4,27.7,91,0,1.6,5,170,1,C 
19-05-2019,25,29.3,26.4,94,3.2,1,5,260,2,C 
20-05-2019,24,31.8,28.1,83,5.6,4.3,5,180,1,C 
21-05-2019,25,32.8,27,88,0,4.4,3,150,1,C 
22-05-2019,25,30.9,27.1,90,8888,5.4,4,110,1,C 
23-05-2019,,32.8,29,81,0.5,3.7,6,140,2,S 
24-05-2019,,33.8,28.6,83,10.2,8.9,4,130,2,C 
25-05-2019,25,31.4,27.9,89,0,8.3,4,180,1,C 
26-05-2019,25,32.8,28.5,85,25,6.2,4,170,1,C 
27-05-2019,25,32.9,28.3,86,10.1,7.4,5,160,1,C 
28-05-2019,26,32.6,28.3,87,3.8,7,6,150,2,C 
29-05-2019,24,32.7,28.1,88,4.1,7.7,4,70,1,C 
30-05-2019,25,30.6,27.2,87,0,7,4,110,1,C 
31-05-2019,25,31.9,27.4,90,8888,2.2,6,70,1,C 
