Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-04-2017,24.8,30.8,26.4,90,3,2.2,5,290,1,N 
02-04-2017,24.4,30.6,27.6,82,14.5,2.5,5,270,2,W 
03-04-2017,24.7,31.8,26.9,84,2,3.2,4,280,1,N 
04-04-2017,23.8,31.8,27.7,80,25.7,0.3,7,270,2,W 
05-04-2017,23.6,31.8,28.2,78,4.6,6.7,6,260,2,W 
06-04-2017,24.8,32.6,28.1,80,,5.5,6,330,2,N 
07-04-2017,24.6,33,28.6,75,15.9,4.8,4,300,2,N 
08-04-2017,24.8,31,25.8,90,8888,8.6,5,240,1,N 
09-04-2017,,31.8,27.7,81,6.7,0.8,4,70,2,N 
10-04-2017,24.7,30,26.5,89,8888,7.5,6,200,2,N 
11-04-2017,24.6,31.4,27.5,87,1.3,2.7,4,260,2,N 
12-04-2017,24.2,31.2,28,84,34.2,,4,120,1,N 
13-04-2017,24.2,29.6,26.1,89,0,5.4,4,160,1,N 
14-04-2017,24.2,31.6,28.6,79,11.8,0.9,6,40,3,NE
15-04-2017,25.2,31.9,28.1,80,0,6.4,8,70,3,N 
16-04-2017,25.1,31.8,28.4,81,0.7,8.2,4,50,1,N 
17-04-2017,25.5,32,28.6,80,0.5,5.9,7,60,2,E 
18-04-2017,25.9,32.3,26.8,85,0,4.6,4,60,1,N 
19-04-2017,,,,,,,,,,
20-04-2017,24.8,32.4,27.2,86,0,,4,70,1,N 
21-04-2017,24.8,32.4,27.9,79,8888,3.5,4,280,2,N 
22-04-2017,24.8,29.4,26.9,89,3,7.3,4,300,1,N 
23-04-2017,,31.2,27.1,88,16.6,2.6,4,210,1,N 
24-04-2017,,32.2,27.7,85,20.4,5.9,4,120,1,N 
25-04-2017,25,31.2,26.4,90,8888,4.9,4,90,1,N 
26-04-2017,23.8,28.8,26.6,90,48.3,3.9,3,230,1,N 
27-04-2017,24,33.4,28.2,78,2.3,0,4,270,2,W 
28-04-2017,24.8,30.5,27.1,86,0,9.5,7,330,1,N 
29-04-2017,,29.8,26.8,87,9.2,4,3,240,1,N 
30-04-2017,,32.4,27.7,84,0.5,1.3,7,40,2,N 
